locationNumber,name,yiddishName,region
31357,Jerusalem,Jerušolájim,
32358,Safed,Cfos,
44264,Bucureşti,Búkarešt,T - Transcarpathia
45229,Hunedoara,Hunjedórə,T - Transcarpathia
45273,Brăila,Brájlə,T - Transcarpathia
45284,Galaţi,Galác,T - Transcarpathia
46182,Bonyhád,Bónjəd,T - Transcarpathia
46186,Paks,Pakš,T - Transcarpathia
46232,Alba Iulia (Karlsburg),Kárlsborg,T - Transcarpathia
46233,Teiuş,Téviš,T - Transcarpathia
46238,Cluj (Klausenburg),Klóuznborg,T - Transcarpathia
46247,Magyar-Fráta,,T - Transcarpathia
46265,Moineşti,Mojnéšt,T - Transcarpathia
46268,Piatra-Neamţ,Piátrə-olt,T - Transcarpathia
46269,Roman,Róman,T - Transcarpathia
46272,Iveşti,Ivéšt,T - Transcarpathia
46280,Leova,Ljévə,X - Southern Ukraine and Rumania
46284,Huşi,Iš,X - Southern Ukraine and Rumania
46298,Tighina (Bender),Bendér,X - Southern Ukraine and Rumania
46302,Ackerman,,X - Southern Ukraine and Rumania
46306,Odessa,Adés,X - Southern Ukraine and Rumania
46327,Nikolayev,Nikolájəv,X - Southern Ukraine and Rumania
46338,Kakhovka,Kaxóvkə,X - Southern Ukraine and Rumania
47070,Dürmenach,Dérmənax,A - Alsace
47075,Mulhouse,Milhóusə,A - Alsace
47084,Endingen,Éndingə,"W - Austria, Czechoslovakia, Germany, Holland"
47086,Gailingen,Gájlingə,"W - Austria, Czechoslovakia, Germany, Holland"
47159,Wopfing,,"W - Austria, Czechoslovakia, Germany, Holland"
47165,Kobersdorf,,"W - Austria, Czechoslovakia, Germany, Holland"
47166,Mattersdorf,,"W - Austria, Czechoslovakia, Germany, Holland"
47167,Német Keresztúr (Deutsch Kreuz),Céjləm,"W - Austria, Czechoslovakia, Germany, Holland"
47170,Lackenbach,,T - Transcarpathia
47175,Tet,,T - Transcarpathia
47179,Dunajska Streda (Dunaszer-dahely),Sédəhəl,T - Transcarpathia
47197,Vác,Vájcn,T - Transcarpathia
47211,Pűspőkladány,Pišpoklodón,T - Transcarpathia
47212,Berettyó-Újfalu,Beretjó-ujfólu,T - Transcarpathia
47219,Hajdúhadház,Hòjduhódaz,T - Transcarpathia
47223,Sîg Felső Szek (felső ’upper’),Éjbərsek (éjbər ’upper’),T - Transcarpathia
47225,Tăşnad,Tóšnad,T - Transcarpathia
47228,”near Sighet”,,T - Transcarpathia
47231,Buciumi (Vármező),Varmézə,T - Transcarpathia
47232,Hida,Hidólmoš,T - Transcarpathia
47233,Dej,Dejž,T - Transcarpathia
47236,Copălnic Mănăştir,Minaštúr,T - Transcarpathia
47237,Halmi,Holmín,T - Transcarpathia
47239,(section of Marmarós Sziget),Míkəv,T - Transcarpathia
47240,Moiseiu,Misíf,T - Transcarpathia
47241,Bistriţa,Bístric,T - Transcarpathia
47243,Prundu Bârgăului ~ Bîrgăului,Bórgə,T - Transcarpathia
47246,Rodna,Ródnə,T - Transcarpathia
47247,Vişeu(l) de Sus (Ober-Wischau),Ojbərvíšvə,T - Transcarpathia
47248,Ruscova,Rískevə,T - Transcarpathia
47256,Gura Humorului,Hamór,T - Transcarpathia
47260,Dorohoi,Dorxój,T - Transcarpathia
47266,Hârlău/Hîrlău,Erlój,T - Transcarpathia
47267,Zamostea,Zámisk,T - Transcarpathia
47268,Botoşani,Botšón,T - Transcarpathia
47271,Podul Iloaiei,Podəlój,T - Transcarpathia
47272,Iaši,Jos,X - Southern Ukraine and Rumania
47277,Ştefăneşti,Štefinéšt,X - Southern Ukraine and Rumania
47279,Bălţi,Belc,X - Southern Ukraine and Rumania
47283,Chisinău,Kéšənəv,X - Southern Ukraine and Rumania
47287,Marculeşti,M[a/ə]rkuléšt,X - Southern Ukraine and Rumania
47288,Unchiteşti,Unkitéšt,X - Southern Ukraine and Rumania
47295,Flora,Flórə,X - Southern Ukraine and Rumania
47298,Balta,Bóltə,X - Southern Ukraine and Rumania
47302,Petroverovka (Paplovsk),Paplósk,X - Southern Ukraine and Rumania
47307,Gvozdavka,Gvozdóvkə,X - Southern Ukraine and Rumania
47308,Krovoye Ozero,Krivózər,X - Southern Ukraine and Rumania
47337,Ingulets-Shirokoye,Ingúl-širóki,X - Southern Ukraine and Rumania
47339,Novy Vitebsk (novy ’new’),Najvítepsk (naj ’new’),X - Southern Ukraine and Rumania
